hidden,lr,lr_decay,activation,init_type,w_scale,est_CE,val_CE
30,0.01,0.05,tanh,sparse,0.01,[0.025625],0.0225
30,0.01,0.0,tanh,sparse,0.1,[0.0259375],0.02375
30,0.01,0.01,tanh,sparse,0.1,[0.03078125],0.023125
30,0.01,0.05,tanh,sparse,0.1,[0.03078125],0.029375
30,0.01,0.0,relu,gaussian,0.01,[0.02234375],0.01625
30,0.01,0.01,relu,gaussian,0.01,[0.01703125],0.01375
30,0.01,0.05,relu,gaussian,0.01,[0.0125],0.010625
30,0.01,0.0,relu,gaussian,0.1,[0.0240625],0.0175
30,0.01,0.01,relu,gaussian,0.1,[0.02625],0.02
30,0.01,0.05,relu,gaussian,0.1,[0.01703125],0.016875
30,0.01,0.0,relu,uniform,0.01,[0.02140625],0.015625
30,0.01,0.01,relu,uniform,0.01,[0.0190625],0.014375
30,0.01,0.05,relu,uniform,0.01,[0.0159375],0.015
30,0.01,0.0,relu,uniform,0.1,[0.0278125],0.021875
30,0.01,0.01,relu,uniform,0.1,[0.0171875],0.01875
30,0.01,0.05,relu,uniform,0.1,[0.0140625],0.013125
30,0.01,0.0,relu,sparse,0.01,[0.02859375],0.03125
30,0.01,0.01,relu,sparse,0.01,[0.0234375],0.0175
30,0.01,0.05,relu,sparse,0.01,[0.03515625],0.033125
30,0.01,0.0,relu,sparse,0.1,[0.030625],0.02375
30,0.01,0.01,relu,sparse,0.1,[0.02375],0.019375
30,0.01,0.05,relu,sparse,0.1,[0.0303125],0.02625
30,0.05,0.0,logsig,gaussian,0.01,[0.02421875],0.01625
30,0.05,0.01,logsig,gaussian,0.01,[0.01875],0.02
30,0.05,0.05,logsig,gaussian,0.01,[0.01875],0.02
30,0.05,0.0,logsig,gaussian,0.1,[0.02171875],0.01875
30,0.05,0.01,logsig,gaussian,0.1,[0.02],0.01625
30,0.05,0.05,logsig,gaussian,0.1,[0.01546875],0.014375
30,0.05,0.0,logsig,uniform,0.01,[0.02578125],0.018125
30,0.05,0.01,logsig,uniform,0.01,[0.015],0.014375
30,0.05,0.05,logsig,uniform,0.01,[0.023125],0.021875
30,0.05,0.0,logsig,uniform,0.1,[0.0221875],0.011875
30,0.05,0.01,logsig,uniform,0.1,[0.0196875],0.01875
30,0.05,0.05,logsig,uniform,0.1,[0.0228125],0.0175
30,0.05,0.0,logsig,sparse,0.01,[0.0278125],0.021875
30,0.05,0.01,logsig,sparse,0.01,[0.03234375],0.018125
30,0.05,0.05,logsig,sparse,0.01,[0.0215625],0.02125
30,0.05,0.0,logsig,sparse,0.1,[0.0321875],0.029375
30,0.05,0.01,logsig,sparse,0.1,[0.030625],0.0275
30,0.05,0.05,logsig,sparse,0.1,[0.025625],0.026875
30,0.05,0.0,tanh,gaussian,0.01,[0.03421875],0.02125
30,0.05,0.01,tanh,gaussian,0.01,[0.028125],0.0225
30,0.05,0.05,tanh,gaussian,0.01,[0.01984375],0.019375
30,0.05,0.0,tanh,gaussian,0.1,[0.02625],0.015
30,0.05,0.01,tanh,gaussian,0.1,[0.02390625],0.021875
30,0.05,0.05,tanh,gaussian,0.1,[0.02078125],0.01625
30,0.05,0.0,tanh,uniform,0.01,[0.031875],0.018125
30,0.05,0.01,tanh,uniform,0.01,[0.03890625],0.02375
30,0.05,0.05,tanh,uniform,0.01,[0.01546875],0.008125
30,0.05,0.0,tanh,uniform,0.1,[0.03421875],0.023125
30,0.05,0.01,tanh,uniform,0.1,[0.02234375],0.014375
30,0.05,0.05,tanh,uniform,0.1,[0.02015625],0.01125
30,0.05,0.0,tanh,sparse,0.01,[0.03875],0.026875
30,0.05,0.01,tanh,sparse,0.01,[0.02796875],0.0175
30,0.05,0.05,tanh,sparse,0.01,[0.0246875],0.019375
30,0.05,0.0,tanh,sparse,0.1,[0.025],0.01625
30,0.05,0.01,tanh,sparse,0.1,[0.0290625],0.0175
30,0.05,0.05,tanh,sparse,0.1,[0.02234375],0.016875
30,0.05,0.0,relu,gaussian,0.01,[0.04828125],0.035625
30,0.05,0.01,relu,gaussian,0.01,[0.04484375],0.035
30,0.05,0.05,relu,gaussian,0.01,[0.01890625],0.011875
30,0.05,0.0,relu,gaussian,0.1,[0.0415625],0.02625
30,0.05,0.01,relu,gaussian,0.1,[0.03671875],0.024375
30,0.05,0.05,relu,gaussian,0.1,[0.02125],0.01625
30,0.05,0.0,relu,uniform,0.01,[0.049375],0.036875
30,0.05,0.01,relu,uniform,0.01,[0.03046875],0.023125
30,0.05,0.05,relu,uniform,0.01,[0.02171875],0.01625
30,0.05,0.0,relu,uniform,0.1,[0.0459375],0.038125
30,0.05,0.01,relu,uniform,0.1,[0.02296875],0.01625
30,0.05,0.05,relu,uniform,0.1,[0.02796875],0.02625
30,0.05,0.0,relu,sparse,0.01,[0.06015625],0.0375
30,0.05,0.01,relu,sparse,0.01,[0.05609375],0.035625
30,0.05,0.05,relu,sparse,0.01,[0.06109375],0.05375
30,0.05,0.0,relu,sparse,0.1,[0.10453125],0.069375
30,0.05,0.01,relu,sparse,0.1,[0.0784375],0.054375
30,0.05,0.05,relu,sparse,0.1,[0.04171875],0.0325
